"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\wvaug\OneDrive\Documents\Flutter Projects\qc_collegeandcareer\lib\appbar.dart", "Dart", 113, 0, 8, 121
"c:\Users\wvaug\OneDrive\Documents\Flutter Projects\qc_collegeandcareer\lib\calendar.dart", "Dart", 197, 0, 28, 225
"c:\Users\wvaug\OneDrive\Documents\Flutter Projects\qc_collegeandcareer\lib\color_pallet.dart", "Dart", 14, 0, 4, 18
"c:\Users\wvaug\OneDrive\Documents\Flutter Projects\qc_collegeandcareer\lib\create_events\create_event_screen.dart", "Dart", 74, 0, 10, 84
"c:\Users\wvaug\OneDrive\Documents\Flutter Projects\qc_collegeandcareer\lib\events\event_gridview.dart", "Dart", 121, 0, 10, 131
"c:\Users\wvaug\OneDrive\Documents\Flutter Projects\qc_collegeandcareer\lib\firebase.dart", "Dart", 91, 0, 14, 105
"c:\Users\wvaug\OneDrive\Documents\Flutter Projects\qc_collegeandcareer\lib\firebase_options.dart", "Dart", 66, 12, 6, 84
"c:\Users\wvaug\OneDrive\Documents\Flutter Projects\qc_collegeandcareer\lib\home\home_screen.dart", "Dart", 101, 0, 13, 114
"c:\Users\wvaug\OneDrive\Documents\Flutter Projects\qc_collegeandcareer\lib\main.dart", "Dart", 25, 0, 6, 31
"c:\Users\wvaug\OneDrive\Documents\Flutter Projects\qc_collegeandcareer\lib\month\month_view.dart", "Dart", 0, 0, 3, 3
"c:\Users\wvaug\OneDrive\Documents\Flutter Projects\qc_collegeandcareer\lib\navigation_drawer.dart", "Dart", 51, 0, 6, 57
"c:\Users\wvaug\OneDrive\Documents\Flutter Projects\qc_collegeandcareer\lib\specific_post\specific_event_screen.dart", "Dart", 156, 0, 14, 170
"c:\Users\wvaug\OneDrive\Documents\Flutter Projects\qc_collegeandcareer\lib\storage.dart", "Dart", 23, 0, 9, 32
"Total", "-", 1032, 12, 131, 1175
